ID, Category,Question
596032AF-E96D-45DB-87D8-6D4C17FA5174, Emotional,What makes you feel truly happy and content?
4C0453EF-78CE-4A05-BFDF-1AE1E8760C42, Emotional,Can you describe a time when you felt really proud of yourself or someone else?
D0206A3E-5F52-4295-9BA6-E0A005B2988A, Emotional,What's something that inspires or motivates you in your daily life?
204769CC-0FB2-4CD1-9035-B9B90BF0887A, Emotional,How do you cope with stress or difficult situations?
5B86763C-227F-4B4A-95EE-678BCAAFF8D5, Emotional,Can you recall a moment that touched you emotionally such as an act of kindness or special event?
1A2E815F-2779-411D-90D2-8CD28FCF451D, Emotional,What's a memory that always brings a smile to your face?
96D91638-F266-4E7A-80CE-AA241D2248BB, Emotional,Can you describe a time when you felt a strong sense of community or belonging?
15F28053-32D6-4A1B-B32C-6F3FE1BB7C27, Emotional,What's a decision or choice you made that you feel really good about?
A1B4590C-7597-4161-A91E-654BE0BF7A18, Emotional,Can you recall a time when you were moved to tears either joyfully or sadly?
F424E5AD-F373-4919-82C7-0C151A329593, Emotional,How do you feel when you accomplish a goal or overcome a challenge?
6450BEB4-92AB-4AEB-A9C9-E0F1DC65FC68, Emotional,What's something that makes you feel nostalgic or sentimental?
D15D9F05-CC25-4182-9C02-2AF5AF387DA4, Emotional,How do you react when you hear good news?
209035A1-A657-4531-9858-4FAC67E6936F, Emotional,What's a lesson you've learned that you feel grateful for?
BF30D54D-3172-4D4F-8617-4DD682C17478, Emotional,Can you describe a moment when you felt a strong connection with someone?
489BA4FA-8671-4982-9D54-F41F349B6997, Emotional,What's a place or setting that makes you feel calm and peaceful?
9B9A0FCD-C341-4FE8-BFFD-E122F12D43FB, Emotional,Can you describe an event that changed your perspective on life?
12D4619D-3432-4335-A4E9-818C905B9A45, Emotional,What's a song or piece of music that evokes strong emotions in you?
49AAD501-DAF3-4599-8B50-3988BD26CE82, Emotional,How do you feel when you're surrounded by nature?
B3E0E86F-D26C-4095-85E4-2B09F4E2D31E, Emotional,What's something you're deeply grateful for in your life?
DA7C1446-1B78-48E7-BD83-FA899753E4BA, Emotional,Can you describe a time when you felt courageous?
E57394FF-033D-47DE-8588-2E8DA4A0674D, Emotional,What's a book or movie that touched your heart?
46C2B002-DA88-4100-ADAC-B12731AFE4B7, Emotional,How do you feel when you reconnect with an old friend?
2462E4F6-0BC8-46F7-B1D0-F29A9C3E5FF5, Emotional,What's a simple pleasure that brings you joy?
DE70BDC0-6B99-43CA-A589-BD59C5F2D553, Emotional,Can you recall a time when you felt at peace with yourself?
